Ticker,Security Description 1,Shares,Cost,Market Value,GICS Sector,P/L,Reporting Account Number,Reporting Account Name,Source Account Number,Source Account Name,As Of Date,Security Description 2,Asset Code,Asset Category,Sector Name,Position Type,Acct Base Currency Code,Acct Base Currency Name,Local Currency Code,Local Currency Name,Country Code,Country Name,Local Cost,Base Price,Local Price,Base Net Income Receivable,Local Net Income Receivable,Local Market Value,Base Notional Cost,Local Notional Cost,Base Notional Value,Local Notional Value,Coupon Rate,Maturity Date,Local Unrealized Gain/Loss,Base Unrealized Currency Gain/Loss,Base Net Unrealized Gain/Loss,Gen Ledger Acct,Pay Date,Report Run Date,Percent Of Total,Link Ref,Issuer ID,Counterparty Name,Exchange Rate,Original Strike Price,Current Strike Price,Mellon Security ID,CINS,CUSIP,ISIN,SEDOL,Valoren,Sicovam,WPK,Quick,Underlying Sec ID,Loan ID,Manager,Counterparty,Derivative Type,Acctg Status Update (EST),Underlying Security Description 1,Underlying Security Description 2,Underlying Security CUSIP,Underlying Security CINS,Underlying Security ISIN,Underlying Security SEDOL,Underlying Security TICKER,Underlying Security SICOVAM,Underlying Security VALOREN,Underlying Security WPK,Underlying Security QUICK,Underlying Security Loan ID,Underlying Security MANAGER,Accounting Status,Primary GSP Account,Extended GSP Account Number
TECH,BIO-TECHNE CORP,30,"2,036",3085,Health Care,"1,049",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E030,Stocks,HEALTH CARE,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,036",103,103,0,0,"3,085",0,0,0,0,0,,"1,049",0,"1,049","999,999",,"41,279",1,,09073M,,1,0,0,09073M104,,09073M104,US09073M1045,BSHZ3Q0,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
TWX,TIME WARNER INC,100,"6,370",9653,Consumer Discretionary,"3,283",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E075,Stocks,MEDIA,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"6,370",97,97,0,0,"9,653",0,0,0,0,0,,"3,283",0,"3,283","999,999",,"41,279",2,,"887,317",,1,0,0,"887,317,303",,"887,317,303",US8873173038,B63QTN2,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
UNH,UNITEDHEALTH GROUP INC,50,"2,806",8002,Health Care,"5,196",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E033,Stocks,HEALTH CARE SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,806",160,160,0,0,"8,002",0,0,0,0,0,,"5,196",0,"5,196","999,999",,"41,279",1,,91324P,,1,0,0,91324P102,,91324P102,US91324P1021,"2,917,766",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
V,VISA INC,280,"5,190",21846,Information Technology,"16,656",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E023,Stocks,DIVERSIFIED FINANCIAL SERVICES,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,190",78,78,0,0,"21,846",0,0,0,0,0,,"16,656",0,"16,656","999,999",,"41,279",4,,92826C,,1,0,0,92826C839,,92826C839,US92826C8394,B2PZN04,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
VC,VISTEON CORP,100,"4,203",8034,Consumer Discretionary,"3,831",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E062,Stocks,AUTO PARTS & EQUIPMENT,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,203",80,80,0,0,"8,034",0,0,0,0,0,,"3,831",0,"3,831","999,999",,"41,279",1,,92839U,,1,0,0,92839U206,,92839U206,US92839U2069,B4N0JJ6,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
VZ,VERIZON COMMUNICATIONS INC,120,"3,321",6406,Telecommunication Services,"3,084",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E078,Stocks,TELECOMMUNICATIONS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"3,321",53,53,0,0,"6,406",0,0,0,0,0,,"3,084",0,"3,084","999,999",,"41,279",1,,92343V,,1,0,0,92343V104,,92343V104,US92343V1044,"2,090,571",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
WM,WASTE MANAGEMENT INC,140,"4,498",9927,Industrials,"5,429",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E109,Stocks,ENVIRONMENTAL CONTROL,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,498",71,71,0,0,"9,927",0,0,0,0,0,,"5,429",0,"5,429","999,999",,"41,279",2,,94106L,,1,0,0,94106L109,,94106L109,US94106L1098,"2,937,667",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
WMT,WAL-MART STORES INC,50,"2,714",3456,Consumer Staples,742,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E036,Stocks,RETAIL,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,714",69,69,25,25,"3,456",0,0,0,0,0,,742,0,742,"999,999","41,276","41,279",1,,"931,142",,1,0,0,"931,142,103",,"931,142,103",US9311421039,"2,936,921",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
WWAV,WHITEWAVE FOODS CO/THE,50,"2,410",2780,Consumer Staples,370,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E056,Stocks,FOOD PROCESSING,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"2,410",56,56,0,0,"2,780",0,0,0,0,0,,370,0,370,"999,999",,"41,279",0,,"966,244",,1,0,0,"966,244,105",,"966,244,105",US9662441057,B834PQ5,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLB,MATERIALS SELECT SECTOR SPDR,56,"1,958",2783,Materials,825,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"1,958",50,50,0,0,"2,783",0,0,0,0,0,,825,0,825,"999,999",,"41,279",0,,81369Y,,1,0,0,81369Y100,,81369Y100,US81369Y1001,"2,436,841",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLE,ENERGY SELECT SECTOR SPDR,365,"23,749",27492,Energy,"3,742",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"23,749",75,75,0,0,"27,492",0,0,0,0,0,,"3,742",0,"3,742","999,999",,"41,279",5,,81369Y,,1,0,0,81369Y506,,81369Y506,US81369Y5069,"2,402,466",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLF,FINANCIAL SELECT SECTOR SPDR,797,"11,930",18530,Financials,"6,600",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"11,930",23,23,0,0,"18,530",0,0,0,0,0,,"6,600",0,"6,600","999,999",,"41,279",3,,81369Y,,1,0,0,81369Y605,,81369Y605,US81369Y6059,"2,364,038",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLI,INDUSTRIAL SELECT SECT SPDR,100,"4,883",6222,Industrials,"1,339",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"4,883",62,62,0,0,"6,222",0,0,0,0,0,,"1,339",0,"1,339","999,999",,"41,279",1,,81369Y,,1,0,0,81369Y704,,81369Y704,US81369Y7040,"2,502,139",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLK,TECHNOLOGY SELECT SECT SPDR,776,"14,226",37527,Information Technology,"23,301",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"14,226",48,48,0,0,"37,527",0,0,0,0,0,,"23,301",0,"23,301","999,999",,"41,279",6,,81369Y,,1,0,0,81369Y803,,81369Y803,US81369Y8030,"2,369,709",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLP,CONSUMER STAPLES SPDR,284,"13,790",14686,Consumer Staples,896,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"13,790",52,52,0,0,"14,686",0,0,0,0,0,,896,0,896,"999,999",,"41,279",2,,81369Y,,1,0,0,81369Y308,,81369Y308,US81369Y3080,"2,369,389",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLRE,REAL ESTATE SELECT SECT SPDR,397,"12,417",12208,Real Estate,-209,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E402,ETF,US EQUITY ETF (US REGISTERED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"12,417",31,31,0,0,"12,208",0,0,0,0,0,,-209,0,-209,"999,999",,"41,279",2,,81369Y,,1,0,0,81369Y860,,81369Y860,US81369Y8600,BYZ65Y9,,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLV,HEALTH CARE SELECT SECTOR,84,"5,168",5791,Health Care,623,G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"5,168",69,69,0,0,"5,791",0,0,0,0,0,,623,0,623,"999,999",,"41,279",1,,81369Y,,1,0,0,81369Y209,,81369Y209,US81369Y2090,"2,371,823",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XLY,CONSUMER DISCRETIONARY SELT,221,"13,556",17989,Consumer Discretionary,"4,433",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E454,ETF,US EQUITY INDEX ETF (US REGULATED),,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"13,556",81,81,0,0,"17,989",0,0,0,0,0,,"4,433",0,"4,433","999,999",,"41,279",3,,81369Y,,1,0,0,81369Y407,,81369Y407,US81369Y4070,"2,424,341",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
XOM,EXXON MOBIL CORP,130,"9,270",11734,Energy,"2,463",G26F61254102,G26-INVESTMENT CLUB,G26F61254102,G26-INVESTMENT CLUB,"41,273",,E073,Stocks,OIL & GAS,,USD,U.S. DOLLAR,USD,U.S. DOLLAR,NA,UNITED STATES,"9,270",90,90,0,0,"11,734",0,0,0,0,0,,"2,463",0,"2,463","999,999",,"41,279",2,,30231G,,1,0,0,30231G102,,30231G102,US30231G1022,"2,326,618",,,,,,,,,,"41,280",,,,,,,,,,,,,,PRELIMINARY,"691,438","691,438"
